"","Gene.ID","logFC","P.Value"
"Os.12664.1.S1_at","4343507",-3.75567162846324,5.43595133890396e-07
"Os.1597.1.S1_at","4325934",-1.00313207304339,5.45326491681049e-07
"Os.5130.1.S1_at","4335846",-2.6151000806134,5.51306985281094e-07
"Os.53660.1.S1_at","4330189",1.20822815554392,5.55093561928701e-07
"Os.15092.1.S1_at","4347418",0.979349791110332,5.67157874108343e-07
"Os.23964.1.S1_at","4344322",-1.84681558689482,5.67358969874448e-07
"Os.4171.1.S1_s_at","4330805",0.621505687324699,5.79695566133424e-07
"Os.38152.1.S1_at","4349509",2.10731072668166,5.81626317370325e-07
"Os.5913.1.S1_at","4337397",-1.44203170178776,5.81836706399588e-07
"Os.15191.1.S1_s_at","4339173",-1.57661495963571,5.85356213441969e-07
"Os.4717.1.S1_at","4345795",1.68399749490004,5.91107018748717e-07
"Os.55330.1.S1_at","4350180",-1.96085212123254,5.91669477265592e-07
"Os.20361.1.A1_at","4347431",-0.823133037830766,5.93248474397473e-07
"Os.2239.1.S1_at","4331362",-2.97785548208271,5.96970590886445e-07
"Os.15988.1.S1_at","4341019",-1.17354682314017,5.98645983898613e-07
"Os.55076.1.S1_at","4349825",-0.870284411202672,6.00606913511434e-07
"Os.6423.1.S1_at","4345964",-0.951126443864077,6.07533810436985e-07
"Os.7662.1.S1_at","4328620",1.79186055069507,6.13365363063497e-07
"Os.11046.1.S1_at","4341420",-0.84329921455126,6.14893352754072e-07
"Os.10435.1.S1_at","4334707",-3.44876051850866,6.15162074180992e-07
"OsAffx.19388.1.S1_s_at","4329759",0.993493999246528,6.18725190376138e-07
"Os.51709.2.S1_at","4336800",-1.04448332549396,6.21976693091414e-07
"Os.17131.1.S1_at","4349852",2.61513090298337,6.26623728201417e-07
"Os.15514.1.S2_at","4338943",-1.71059925725503,6.29303047874358e-07
"Os.15570.1.S1_at","4343353",2.21716321510497,6.38266443818821e-07
"Os.46861.1.A1_at","4348458",-1.94706612132437,6.38500015373843e-07
"Os.32292.1.S1_at","4326874",3.20734610788334,6.4401312780666e-07
"Os.14926.2.S1_x_at","9268175",0.633101817946734,6.48581515140551e-07
"Os.51207.1.S1_s_at","4347323",6.04092361895514,6.510742817853e-07
"Os.34818.1.S1_x_at","4328670",1.52688776046436,6.52972227634193e-07
"Os.30366.1.S1_at","4344094",-1.554330817921,6.55574101224829e-07
"Os.51274.1.S1_at","4339148",-5.76948721161661,6.56316176911081e-07
"Os.27133.2.S1_at","4335520",-3.6954801512541,6.6429852667687e-07
"Os.27078.1.S1_s_at","4326061",8.27177109465157,6.69251773106447e-07
"Os.28514.1.S1_at","4325688",1.92187836307709,6.70067857872697e-07
"Os.36328.1.S1_at","4325694",-2.71419452328235,6.78192686855401e-07
"Os.17887.1.S1_at","4352495",3.14665952121157,6.78418687697223e-07
